restaurant_name,address,location,primary_cuisine,rating,votes,cost_for_two,sentiment_compound,cluster,segment
#FeelTheROLL,"Opposite Mantri Commercio, Outer Ring Road, Devarabisanahalli, Near Sakra World Hospital",Bellandur,Fast Food,3.4,7,200,0.869,0,Mass-market favourites
#FeelTheROLL,"Opposite Mantri Commercio, Outer Ring Road, Devarabisanahalli, Near Sakra World Hospital",Bellandur,Fast Food,3.4,7,200,0.881,0,Mass-market favourites
#L-81 Cafe,"Sector 6, HSR Layout, HSR",HSR,Fast Food,3.9,48,400,0.941,0,Mass-market favourites
#L-81 Cafe,"Sector 6, HSR Layout, HSR",HSR,Fast Food,3.9,48,400,0.92,0,Mass-market favourites
#L-81 Cafe,"Sector 6, HSR Layout, HSR",HSR,Fast Food,3.9,48,400,0.927,0,Mass-market favourites
#refuel,"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",Bannerghatta Road,Cafe,3.7,37,400,0.336,4,Hidden gems
@ Biryani Central,"116/1B, Site 34, SGR Dental College Road, Munnekolala, Marathahalli, Bangalore",Marathahalli,Biryani,2.7,135,550,0.399,4,Hidden gems
@ Biryani Central,"116/1B, Site 34, SGR Dental College Road, Munnekolala, Marathahalli, Bangalore",Marathahalli,Biryani,2.7,135,550,0.348,4,Hidden gems
@ The Bbq,"548/1, Syed Plaza, Outer Ring Road, Bellandur, Bangalore",Bellandur,BBQ,3.8,32,700,0.878,0,Mass-market favourites
@99,"90/2, Sobha Rani Compound, Shetty Layout, Mahadevpura, Whitefield, Bangalore",Whitefield,Mughlai,3.4,37,200,0.308,4,Hidden gems
@Italy,"17/9 Krishna Kuteer Food Court, 18th Cross Sector 3, HSR, Bangalore",HSR,Italian,3.5,40,700,0.593,0,Mass-market favourites
@Italy,"17/9 Krishna Kuteer Food Court, 18th Cross Sector 3, HSR, Bangalore",HSR,Italian,3.5,40,700,0.556,4,Hidden gems
@Italy,"1766, 14th Main, 1st Stage, Kumaraswamy Layout, Bangalore",Kumaraswamy Layout,Italian,4.1,306,700,0.84,1,Budget crowd-pleasers
1000 B.C,"16, 17th A Main, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Arabian,3.2,49,300,0.233,4,Hidden gems
1000 B.C,"16, 17th A Main, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Arabian,3.2,49,300,0.184,4,Hidden gems
100Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â°C,"688, Thanish Corner, 7th Main, 10th Cross, 2nd Phase, BTM, Bangalore",BTM,Biryani,3.7,41,450,0.606,0,Mass-market favourites
100Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â°C,"688, Thanish Corner, 7th Main, 10th Cross, 2nd Phase, BTM, Bangalore",BTM,Biryani,3.7,41,450,0.579,0,Mass-market favourites
11 to 11 Express Biriyanis,"Near Velankani Bus Stop, Electroniccity Phase Doddathogur, Electronic City, Bangalore",Electronic City,Biryani,3.5,22,300,-0.007,2,Premium destination
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,Continental,4.4,2861,1500,0.834,3,Low-traction small places
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,Continental,4.4,2861,1500,0.887,3,Low-traction small places
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,Continental,4.4,2861,1500,0.802,3,Low-traction small places
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,Continental,4.4,2861,1500,0.848,3,Low-traction small places
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,Continental,4.4,2861,1500,0.844,3,Low-traction small places
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,Continental,4.4,2861,1500,0.823,3,Low-traction small places
12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",Koramangala 3rd Block,European,4.1,357,2000,0.903,3,Low-traction small places
12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",Koramangala 3rd Block,European,4.1,357,2000,0.907,3,Low-traction small places
12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",Koramangala 3rd Block,European,4.1,357,2000,0.893,3,Low-traction small places
12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",Koramangala 3rd Block,European,4.1,357,2000,0.893,3,Low-traction small places
12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",Koramangala 3rd Block,European,4.1,357,2000,0.913,3,Low-traction small places
1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore",Malleshwaram,Chinese,4.2,1734,1400,0.719,3,Low-traction small places
1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore",Malleshwaram,Chinese,4.2,1734,1400,0.719,3,Low-traction small places
1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore",Malleshwaram,Chinese,4.2,1734,1400,0.757,3,Low-traction small places
