name,address,sentiment_compound,n_reviews_scored,pct_positive
#FeelTheROLL,"Opposite Mantri Commercio, Outer Ring Road, Devarabisanahalli, Near Sakra World Hospital",0.869,4.0,1.0
#FeelTheROLL,"Opposite Mantri Commercio, Outer Ring Road, Devarabisanahalli, Near Sakra World Hospital",0.881,4.0,1.0
#L-81 Cafe,"Sector 6, HSR Layout, HSR",0.941,5.0,1.0
#L-81 Cafe,"Sector 6, HSR Layout, HSR",0.92,3.0,1.0
#L-81 Cafe,"Sector 6, HSR Layout, HSR",0.927,3.0,1.0
#refuel,"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",0.336,2.0,0.5
#Vibes Restro,"Marasur Gate, Chandapura - Anekal Road, Near Aliance Collage, Electronic City, Bangalore",0.74,1.0,1.0
@ Biryani Central,"116/1B, Site 34, SGR Dental College Road, Munnekolala, Marathahalli, Bangalore",0.399,6.0,0.667
@ Biryani Central,"116/1B, Site 34, SGR Dental College Road, Munnekolala, Marathahalli, Bangalore",0.348,5.0,0.6
@ The Bbq,"548/1, Syed Plaza, Outer Ring Road, Bellandur, Bangalore",0.878,2.0,1.0
@99,"90/2, Sobha Rani Compound, Shetty Layout, Mahadevpura, Whitefield, Bangalore",0.308,38.0,0.658
@Italy,"17/9 Krishna Kuteer Food Court, 18th Cross Sector 3, HSR, Bangalore",0.593,38.0,0.816
@Italy,"17/9 Krishna Kuteer Food Court, 18th Cross Sector 3, HSR, Bangalore",0.556,30.0,0.767
@Italy,"1766, 14th Main, 1st Stage, Kumaraswamy Layout, Bangalore",0.84,2.0,1.0
1 Fahreheit,"Nishika Arcade, Nanjappa Main Road, Next to Jodidhars Club, Vidyaranyapura, Bengalore",0.78,2.0,1.0
1000 B.C,"16, 17th A Main, Koramangala 5th Block, Bangalore",0.233,4.0,0.5
1000 B.C,"16, 17th A Main, Koramangala 5th Block, Bangalore",0.184,4.0,0.5
100Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â°C,"688, Thanish Corner, 7th Main, 10th Cross, 2nd Phase, BTM, Bangalore",0.606,31.0,0.839
100Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â?Ã?Â°C,"688, Thanish Corner, 7th Main, 10th Cross, 2nd Phase, BTM, Bangalore",0.579,27.0,0.815
11 to 11 Express Biriyanis,"Near Velankani Bus Stop, Electroniccity Phase Doddathogur, Electronic City, Bangalore",-0.007,10.0,0.4
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",0.834,299.0,0.953
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",0.887,446.0,0.978
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",0.802,259.0,0.931
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",0.848,253.0,0.953
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",0.844,47.0,0.957
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",0.823,232.0,0.935
